,Chromosome
0,"[4, 1, 6, 4, 2, 1, 1, 1, 4, 1, 4, 5, 1, 4, 1, 4, 4, 5, 4, 4]"
1,"[1, 6, 4, 1, 1, 1, 1, 1, 1, 1, 5, 1, 4, 1, 4, 4, 5, 4, 4, 4]"
2,"[1, 6, 4, 4, 1, 1, 1, 4, 1, 4, 5, 1, 4, 0, 1, 4, 5, 4, 4, 4]"
3,"[1, 6, 4, 1, 6, 1, 1, 1, 5, 4, 5, 5, 4, 1, 4, 4, 5, 4, 4, 4]"
4,"[4, 1, 6, 6, 1, 1, 1, 4, 1, 4, 5, 4, 5, 1, 4, 5, 5, 5, 4, 4]"
5,"[1, 6, 1, 1, 1, 6, 4, 1, 1, 1, 5, 1, 4, 1, 4, 5, 5, 4, 4, 4]"
6,"[4, 4, 1, 4, 1, 4, 1, 1, 1, 5, 5, 4, 4, 1, 4, 4, 5, 4, 4, 4]"
7,"[1, 6, 1, 1, 6, 1, 1, 1, 1, 1, 5, 1, 5, 1, 5, 4, 5, 4, 4, 4]"
8,"[4, 1, 6, 4, 2, 1, 1, 1, 4, 1, 4, 5, 1, 4, 1, 4, 5, 5, 4, 4]"
9,"[4, 1, 6, 1, 1, 6, 4, 1, 1, 1, 5, 4, 5, 1, 4, 5, 4, 5, 4, 4]"
10,"[1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 5, 4, 4, 4]"
11,"[4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 5, 4, 5, 1, 4, 4, 4, 4, 4, 4]"
12,"[1, 1, 6, 1, 1, 1, 1, 5, 5, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4]"
13,"[1, 6, 4, 1, 1, 1, 1, 1, 1, 4, 5, 1, 5, 1, 4, 4, 5, 1, 4, 4]"
14,"[4, 1, 6, 1, 1, 6, 4, 1, 1, 5, 5, 4, 5, 1, 4, 5, 5, 5, 4, 4]"
15,"[1, 6, 1, 1, 6, 4, 1, 1, 1, 1, 5, 4, 5, 1, 5, 4, 5, 4, 4, 4]"
16,"[1, 6, 4, 1, 6, 1, 1, 1, 1, 4, 1, 1, 4, 1, 4, 4, 5, 4, 4, 4]"
17,"[1, 1, 6, 1, 1, 1, 1, 4, 1, 4, 5, 1, 4, 1, 4, 4, 4, 4, 4, 4]"
18,"[4, 1, 6, 1, 1, 6, 0, 1, 5, 4, 5, 1, 4, 1, 4, 5, 5, 4, 4, 4]"
19,"[1, 6, 4, 1, 1, 1, 1, 5, 1, 1, 4, 5, 1, 4, 1, 4, 4, 5, 4, 4]"
20,"[4, 1, 6, 1, 1, 6, 0, 1, 5, 1, 4, 5, 1, 1, 4, 4, 5, 4, 4, 4]"
21,"[4, 4, 1, 4, 1, 1, 1, 5, 5, 1, 5, 1, 4, 4, 1, 4, 4, 5, 4, 4]"
22,"[4, 1, 6, 4, 2, 1, 1, 1, 4, 1, 4, 5, 1, 4, 1, 4, 4, 5, 4, 4]"
23,"[1, 6, 4, 1, 1, 1, 1, 1, 1, 1, 5, 1, 4, 1, 4, 4, 5, 4, 4, 4]"
24,"[1, 6, 1, 6, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 5, 5, 4, 4, 4]"
